discharge,datetime
2650.0,1967-08-08
2650.0,1967-08-09
2750.0,1967-08-10
2410.0,1967-08-11
1990.0,1967-08-12
1570.0,1967-08-13
1390.0,1967-10-09
2180.0,1967-10-10
1900.0,1967-10-11
1560.0,1967-10-12
1520.0,1967-10-13
1490.0,1967-10-14
1450.0,1967-10-15
1410.0,1967-10-16
1350.0,1967-10-17
1290.0,1967-10-18
1140.0,1967-10-19
970.0,1967-10-20
965.0,1967-10-21
950.0,1967-10-22
945.0,1967-10-23
940.0,1967-10-24
935.0,1967-10-25
920.0,1967-10-26
910.0,1967-10-27
895.0,1967-10-28
890.0,1967-10-29
875.0,1967-10-30
865.0,1967-10-31
855.0,1967-11-01
840.0,1967-11-02
815.0,1967-11-03
805.0,1967-11-04
795.0,1967-11-05
795.0,1967-11-06
790.0,1967-11-07
785.0,1967-11-08
785.0,1967-11-09
780.0,1967-11-10
775.0,1967-11-11
765.0,1967-11-12
760.0,1967-11-13
750.0,1967-11-14
745.0,1967-11-15
735.0,1967-11-16
720.0,1967-11-17
715.0,1967-11-18
705.0,1967-11-19
690.0,1967-11-20
670.0,1967-11-21
655.0,1967-11-22
640.0,1967-11-23
620.0,1967-11-24
610.0,1967-11-25
595.0,1967-11-26
550.0,1967-12-01
480.0,1967-12-02
520.0,1967-12-03
520.0,1967-12-04
535.0,1967-12-05
525.0,1967-12-06
500.0,1967-12-07
472.0,1967-12-08
448.0,1967-12-09
436.0,1967-12-10
428.0,1967-12-11
416.0,1967-12-12
408.0,1967-12-13
404.0,1967-12-14
396.0,1967-12-15
388.0,1967-12-16
384.0,1967-12-17
380.0,1967-12-18
376.0,1967-12-19
372.0,1967-12-20
364.0,1967-12-21
360.0,1967-12-22
356.0,1967-12-23
352.0,1967-12-24
348.0,1967-12-25
344.0,1967-12-26
340.0,1967-12-27
336.0,1967-12-28
328.0,1967-12-29
320.0,1967-12-30
316.0,1967-12-31
140.0,1968-03-11
138.0,1968-03-12
136.0,1968-03-13
136.0,1968-03-14
138.0,1968-03-15
136.0,1968-03-16
136.0,1968-03-17
134.0,1968-03-18
132.0,1968-03-19
132.0,1968-03-20
130.0,1968-03-21
130.0,1968-03-22
128.0,1968-03-23
126.0,1968-03-24
126.0,1968-03-25
124.0,1968-03-26
124.0,1968-03-27
122.0,1968-03-28
122.0,1968-03-29
122.0,1968-03-30
122.0,1968-03-31
120.0,1968-04-01
120.0,1968-04-02
118.0,1968-04-03
116.0,1968-04-04
116.0,1968-04-05
116.0,1968-04-06
116.0,1968-04-07
116.0,1968-04-08
114.0,1968-04-09
114.0,1968-04-10
110.0,1968-04-11
110.0,1968-04-12
110.0,1968-04-13
124.0,1968-04-14
134.0,1968-04-15
140.0,1968-04-16
128.0,1968-04-17
120.0,1968-04-18
116.0,1968-04-19
116.0,1968-04-20
116.0,1968-04-21
114.0,1968-04-22
112.0,1968-04-23
110.0,1968-04-24
108.0,1968-04-25
114.0,1968-04-26
122.0,1968-04-27
126.0,1968-04-28
128.0,1968-04-29
132.0,1968-04-30
128.0,1968-05-01
124.0,1968-05-02
134.0,1968-05-03
153.0,1968-05-04
132.0,1968-05-05
168.0,1968-05-06
148.0,1968-05-07
136.0,1968-05-08
132.0,1968-05-09
126.0,1968-05-10
146.0,1968-05-11
140.0,1968-05-12
136.0,1968-05-13
136.0,1968-05-14
138.0,1968-05-15
140.0,1968-05-16
140.0,1968-05-17
138.0,1968-05-18
138.0,1968-05-19
134.0,1968-05-20
128.0,1968-05-21
122.0,1968-05-22
126.0,1968-05-23
130.0,1968-05-24
138.0,1968-05-25
140.0,1968-05-26
2780.0,1968-08-19
2470.0,1968-08-20
2330.0,1968-08-21
2140.0,1968-08-22
1980.0,1968-08-23
1860.0,1968-08-24
1710.0,1968-08-25
1540.0,1968-08-26
1410.0,1968-08-27
1290.0,1968-08-28
1250.0,1968-08-29
1180.0,1968-08-30
1120.0,1968-08-31
1070.0,1968-09-01
1030.0,1968-09-02
1090.0,1968-09-03
1100.0,1968-09-04
1450.0,1968-09-05
1750.0,1968-09-06
3420.0,1968-09-07
2850.0,1968-09-08
2820.0,1968-09-09
2540.0,1968-09-10
2040.0,1968-09-11
1750.0,1968-09-12
1600.0,1968-09-13
1570.0,1968-09-14
1530.0,1968-09-15
1500.0,1968-09-16
1470.0,1968-09-17
1510.0,1968-09-18
1680.0,1968-09-19
1590.0,1968-09-20
1540.0,1968-09-21
1500.0,1968-09-22
1490.0,1968-09-23
1420.0,1968-09-24
1360.0,1968-09-25
1200.0,1968-09-26
1110.0,1968-09-27
1140.0,1968-09-28
1090.0,1968-09-29
1020.0,1968-09-30
975.0,1968-10-01
945.0,1968-10-02
970.0,1968-10-03
1050.0,1968-10-04
1090.0,1968-10-05
1140.0,1968-10-06
1110.0,1968-10-07
1000.0,1968-10-08
920.0,1968-10-09
910.0,1968-10-10
895.0,1968-10-11
890.0,1968-10-12
865.0,1968-10-13
855.0,1968-10-14
835.0,1968-10-15
820.0,1968-10-16
805.0,1968-10-17
795.0,1968-10-18
675.0,1968-10-19
1080.0,1968-10-20
1050.0,1968-10-21
1210.0,1968-10-22
1620.0,1968-10-23
1370.0,1968-10-24
1360.0,1968-10-25
1350.0,1968-10-26
1320.0,1968-10-27
372.0,1968-11-25
364.0,1968-11-26
364.0,1968-11-27
356.0,1968-11-28
348.0,1968-11-29
340.0,1968-11-30
336.0,1968-12-01
332.0,1968-12-02
324.0,1968-12-03
316.0,1968-12-04
312.0,1968-12-05
304.0,1968-12-06
300.0,1968-12-07
292.0,1968-12-08
292.0,1968-12-09
288.0,1968-12-10
284.0,1968-12-11
272.0,1968-12-12
268.0,1968-12-13
264.0,1968-12-14
256.0,1968-12-15
252.0,1968-12-16
248.0,1968-12-17
237.0,1968-12-18
234.0,1968-12-19
231.0,1968-12-20
228.0,1968-12-21
225.0,1968-12-22
222.0,1968-12-23
219.0,1968-12-24
216.0,1968-12-25
216.0,1968-12-26
213.0,1968-12-27
207.0,1968-12-28
204.0,1968-12-29
198.0,1968-12-30
189.0,1968-12-31
192.0,1969-01-01
198.0,1969-01-02
207.0,1969-01-03
213.0,1969-01-04
213.0,1969-01-05
216.0,1969-01-06
216.0,1969-01-07
219.0,1969-01-08
219.0,1969-01-09
222.0,1969-01-10
222.0,1969-01-11
219.0,1969-01-12
216.0,1969-01-13
207.0,1969-01-14
201.0,1969-01-15
195.0,1969-01-16
192.0,1969-01-17
192.0,1969-01-18
189.0,1969-01-19
189.0,1969-01-20
186.0,1969-01-21
186.0,1969-01-22
183.0,1969-01-23
177.0,1969-01-24
177.0,1969-01-25
174.0,1969-01-26
171.0,1969-01-27
171.0,1969-01-28
168.0,1969-01-29
162.0,1969-01-30
162.0,1969-01-31
159.0,1969-02-01
156.0,1969-02-02
156.0,1969-02-03
153.0,1969-02-04
153.0,1969-02-05
150.0,1969-02-06
148.0,1969-02-07
148.0,1969-02-08
146.0,1969-02-09
146.0,1969-02-10
144.0,1969-02-11
144.0,1969-02-12
142.0,1969-02-13
140.0,1969-02-14
140.0,1969-02-15
138.0,1969-02-16
136.0,1969-02-17
134.0,1969-02-18
134.0,1969-02-19
132.0,1969-02-20
134.0,1969-02-21
136.0,1969-02-22
134.0,1969-02-23
134.0,1969-02-24
132.0,1969-02-25
136.0,1969-02-26
134.0,1969-02-27
134.0,1969-02-28
134.0,1969-03-01
132.0,1969-03-02
134.0,1969-03-03
134.0,1969-03-04
134.0,1969-03-05
132.0,1969-03-06
132.0,1969-03-07
130.0,1969-03-08
128.0,1969-03-09
128.0,1969-03-10
128.0,1969-03-11
128.0,1969-03-12
124.0,1969-03-13
122.0,1969-03-14
120.0,1969-03-15
120.0,1969-03-16
120.0,1969-03-17
118.0,1969-03-18
118.0,1969-03-19
118.0,1969-03-20
118.0,1969-03-21
120.0,1969-03-22
122.0,1969-03-23
120.0,1969-03-24
118.0,1969-03-25
118.0,1969-03-26
118.0,1969-03-27
116.0,1969-03-28
116.0,1969-03-29
118.0,1969-03-30
116.0,1969-03-31
114.0,1969-04-01
114.0,1969-04-02
112.0,1969-04-03
112.0,1969-04-04
112.0,1969-04-05
112.0,1969-04-06
116.0,1969-04-07
114.0,1969-04-08
112.0,1969-04-09
112.0,1969-04-10
112.0,1969-04-11
112.0,1969-04-12
114.0,1969-04-13
114.0,1969-04-14
114.0,1969-04-15
114.0,1969-04-16
116.0,1969-04-17
116.0,1969-04-18
114.0,1969-04-19
112.0,1969-04-20
112.0,1969-04-21
112.0,1969-04-22
112.0,1969-04-23
114.0,1969-04-24
114.0,1969-04-25
118.0,1969-04-26
126.0,1969-04-27
126.0,1969-04-28
126.0,1969-04-29
130.0,1969-04-30
114.0,1969-05-01
114.0,1969-05-02
112.0,1969-05-03
112.0,1969-05-04
112.0,1969-05-05
112.0,1969-05-06
112.0,1969-05-07
112.0,1969-05-08
112.0,1969-05-09
112.0,1969-05-10
114.0,1969-05-11
114.0,1969-05-12
114.0,1969-05-13
114.0,1969-05-14
118.0,1969-05-15
126.0,1969-05-16
126.0,1969-05-17
126.0,1969-05-18
126.0,1969-05-19
126.0,1969-05-20
126.0,1969-05-21
126.0,1969-05-22
126.0,1969-05-23
130.0,1969-05-24
130.0,1969-05-25
130.0,1969-05-26
130.0,1969-05-27
130.0,1969-05-28
130.0,1969-05-29
