observation,datetime,prediction
29132.030898220848,2015-08-11,27952.229
32680.153,2015-08-12,28477.428
30707.379571542177,2015-08-13,29696.457
30490.33766947118,2015-08-14,30871.104
28937.769265033832,2015-08-15,31785.412
26805.94752582277,2015-08-16,33511.09
24682.96083381417,2015-08-17,35004.707
23051.680115160278,2015-08-18,34978.895
20148.75775,2015-08-19,34743.535
19867.805204464235,2015-08-20,34552.31
18695.221810424035,2015-08-21,33975.477
17738.218320696287,2015-08-22,33093.773
16955.926900790524,2015-08-23,32190.969
16942.103423475764,2015-08-24,31601.598
16749.113611143675,2015-08-25,31638.508
16611.879974853284,2015-08-26,32667.904
21580.11825,2015-08-27,34259.906
19808.40583348048,2015-08-28,36078.18
20981.266801298927,2015-08-29,38451.45
20166.01542460002,2015-08-30,40708.484
19468.43089834256,2015-08-31,41705.66
19838.09540261516,2015-09-01,41800.043
22075.49623286213,2015-09-02,43953.586
23995.94975,2015-09-03,46980.992
26111.8662797477,2015-09-04,46057.066
27353.420660631356,2015-09-05,42182.105
27339.987,2015-09-06,38818.94
27387.804907783688,2015-09-07,35841.348
27061.948421658086,2015-09-08,33073.215
26568.012727918926,2015-09-09,30853.164
26754.880240146133,2015-09-10,29140.459
26635.89559158324,2015-09-11,28488.152
25994.193096308834,2015-09-12,29274.037
25045.010550243336,2015-09-13,30543.43
24502.835976525093,2015-09-14,31543.684
24486.490761750083,2015-09-15,32115.12
25177.25955057832,2015-09-16,32499.322
26771.89774513183,2015-09-17,33124.816
26976.491770584267,2015-09-18,34795.523
23717.173,2015-09-19,37287.62
24014.639795317613,2015-09-20,38891.867
22137.89550679918,2015-09-21,38415.273
20905.163252950133,2015-09-22,39175.418
19749.08740425672,2015-09-23,39428.414
18608.587819343207,2015-09-24,37770.758
17445.536500000002,2015-09-25,35263.496
17163.894460597538,2015-09-26,33680.297
16366.154853428514,2015-09-27,33189.812000000005
16108.587358016379,2015-09-28,32271.752
16298.193700097296,2015-09-29,31027.643
16666.711776068783,2015-09-30,30230.645
17219.547258356164,2015-10-01,30081.37
17583.287342101554,2015-10-02,30002.877
18421.509230326108,2015-10-03,29441.582
18666.323468670802,2015-10-04,28756.297
19660.261573987438,2015-10-05,28430.51
20632.23289691175,2015-10-06,28494.61
19505.08725,2015-10-07,28603.639
19527.364555366283,2015-10-08,29139.688
18378.45942742478,2015-10-09,30632.82
18092.63261173152,2015-10-10,32482.857000000004
17879.601156665212,2015-10-11,34074.6
17681.808226890687,2015-10-12,34520.195
18064.162087944285,2015-10-13,34313.082
19468.43089834256,2015-10-14,33162.094
19793.568637032477,2015-10-15,32164.893
18533.9015,2015-10-16,32402.172
18550.933567817363,2015-10-17,32434.967
17710.00305368636,2015-10-18,32351.963
17066.699370840357,2015-10-19,33360.723
16379.762524962034,2015-10-20,33459.51
15745.771543172837,2015-10-21,31370.705
14759.89625,2015-10-22,28650.97
14563.620026307473,2015-10-23,26603.379
13736.025822492413,2015-10-24,25157.664
12893.879049695315,2015-10-25,24072.834
12147.225799980508,2015-10-26,22895.994
11351.685631043258,2015-10-27,21660.889
9938.28325,2015-10-28,20631.092
9748.388832896244,2015-10-29,19822.36
9092.422730975006,2015-10-30,19114.158
8609.049294973342,2015-10-31,18346.836
8286.832325875524,2015-11-01,17549.354
7862.679191287335,2015-11-02,16905.99
7601.542219443555,2015-11-03,16430.254
7473.009749999998,2015-11-04,16048.082
7193.96085192106,2015-11-05,15744.303
7222.064878752826,2015-11-06,15542.905
7278.422475699565,2015-11-07,15442.839
7231.443967130727,2015-11-08,15326.938999999997
7363.332468398979,2015-11-09,15051.219
7325.539369676205,2015-11-10,14665.895
7100.641040847066,2015-11-11,14175.638
7068.5095,2015-11-12,13741.691
6642.376809668075,2015-11-13,13741.309
6462.973190425168,2015-11-14,14048.504
6259.4260491221885,2015-11-15,14113.023
5972.566935721412,2015-11-16,13838.04
5784.734939983604,2015-11-17,13374.631
5852.960999999999,2015-11-18,12752.883999999998
5491.55138517038,2015-11-19,12138.963
5368.028419973549,2015-11-20,11633.951
5148.914561836763,2015-11-21,11246.061000000003
5084.790688337534,2015-11-22,10892.683
4981.369927947486,2015-11-23,10430.812
4918.207372143055,2015-11-24,9810.435
4839.770286646204,2015-11-25,9112.459
5259.190000000001,2015-11-26,8427.791
4816.351097753818,2015-11-27,7851.9536
4941.850348280052,2015-11-28,7444.815
4918.207372143055,2015-11-29,7168.774
4777.4340232733175,2015-11-30,6958.9326
4524.190907598045,2015-12-01,6770.8936
4448.691248859147,2015-12-02,6590.7617
4366.309937111781,2015-12-03,6425.7095
4366.309937111781,2015-12-04,6289.1904
4388.7080690023695,2015-12-05,6191.9126
4373.770186571594,2015-12-06,6136.4556
4314.250520137999,2015-12-07,6141.0347
4339.77475,2015-12-08,6233.154
4065.4401313868248,2015-12-09,6400.278
3886.7911648072964,2015-12-10,6513.2334
3739.554193940826,2015-12-11,6427.6123
3697.9621304387615,2015-12-12,6153.135
3684.1451620980683,2015-12-13,5810.616
3649.705744377033,2015-12-14,5513.92
3663.463848819869,2015-12-15,5309.0605
3718.731702377525,2015-12-16,5155.7656
3746.5067797846004,2015-12-17,4992.754
3788.345657090756,2015-12-18,4791.5415
