observation,datetime,prediction
14100.907277036658,2016-08-03,17797.982
17247.827825896657,2016-08-04,18197.062
18229.00308645957,2016-08-05,19028.322
16635.615522458465,2016-08-06,20118.045
15180.694063072644,2016-08-07,20217.498
14125.212404559046,2016-08-08,20422.959
14076.613233970025,2016-08-09,21032.41
14368.871358505736,2016-08-10,21897.791
15279.895054273069,2016-08-11,22189.305
18385.2315542472,2016-08-12,21807.139
20850.972582607992,2016-08-13,22415.578
22814.97003831933,2016-08-14,23778.889
22237.318528972006,2016-08-15,24826.266
21283.357147321654,2016-08-16,24998.11
21690.84138133849,2016-08-17,25469.752
22732.20866165961,2016-08-18,25848.625
24037.872498341054,2016-08-19,26139.23
25903.41180538493,2016-08-20,26722.695
27485.790781451935,2016-08-21,27690.852000000006
27311.965171262967,2016-08-22,29411.967
27747.07545574228,2016-08-23,30949.012
28652.035792743307,2016-08-24,32362.658
28769.36309527814,2016-08-25,34499.754
28330.041493285287,2016-08-26,36555.742
27427.816481550897,2016-08-27,37617.48
26619.595086689133,2016-08-28,38507.863
26132.0275001032,2016-08-29,40009.605
25703.810104210752,2016-08-30,42992.617
25305.83656683302,2016-08-31,46242.53
25107.467748403593,2016-09-01,47631.523
24205.934628922616,2016-09-02,46641.24
23619.077681369425,2016-09-03,44022.504
23452.10666577692,2016-09-04,41247.547
23396.519405505944,2016-09-05,39446.484
24093.858763270044,2016-09-06,38541.254
27514.790078492184,2016-09-07,38304.098
28154.815006865654,2016-09-08,38163.684
27196.243795932616,2016-09-09,37489.99
25732.29959916501,2016-09-10,36913.547
25135.780839792315,2016-09-11,38059.57
26677.11255174435,2016-09-12,39642.17
30604.002487555685,2016-09-13,40151.375
35442.310252909265,2016-09-14,40727.285
39087.488329853615,2016-09-15,42427.395
37756.79945886968,2016-09-16,47044.887
34361.25100723895,2016-09-17,54113.367
33075.77883316848,2016-09-18,58001.676
32832.40402581633,2016-09-19,56812.566
32528.855944938867,2016-09-20,55059.543
31622.712737437003,2016-09-21,53596.83
29801.35903777149,2016-09-22,53321.973
28271.60069400663,2016-09-23,54048.9
27805.227487243563,2016-09-24,53716.266
27167.333784863386,2016-09-25,51622.668
25703.81010421074,2016-09-26,49051.223
25504.617857430483,2016-09-27,47220.402
24937.766786455704,2016-09-28,45710.773
25050.866917134947,2016-09-29,42885.2
25135.780839792315,2016-09-30,40597.984
25817.818177640303,2016-10-01,40057.305
25874.872264548656,2016-10-02,39773.39
24262.02415447482,2016-10-03,39566.566
22018.295930910142,2016-10-04,37630.484
20313.814164636522,2016-10-05,36297.83
19541.579536390163,2016-10-06,35599.816
20287.053877312588,2016-10-07,35199.254
21418.957826078204,2016-10-08,34324.14
22787.37406763913,2016-10-09,33239.516
23119.107948364544,2016-10-10,32923.465
21827.12291068826,2016-10-11,32716.152
20635.66407974857,2016-10-12,32113.152
20046.632316400868,2016-10-13,31765.629
18411.303912477833,2016-10-14,31387.959
17247.82782589665,2016-10-15,30221.441000000006
16711.82109690535,2016-10-16,28428.188
18908.528966663187,2016-10-17,27523.895
18803.558891663117,2016-10-18,27418.941000000006
18567.943149934785,2016-10-19,26248.13
17222.202354660938,2016-10-20,24693.07
15979.054842439593,2016-10-21,23565.893
15032.213927261611,2016-10-22,23098.12
14638.164851748152,2016-10-23,23531.508
15678.401587187263,2016-10-24,24154.59
16155.131767834586,2016-10-25,23430.488
15478.808841388853,2016-10-26,21944.334
14368.871358505736,2016-10-27,20886.648
13400.917372880098,2016-10-28,20375.46
12757.781894344764,2016-10-29,19759.55
12123.11772883116,2016-10-30,18876.178
11543.197918908172,2016-10-31,17918.558999999994
11290.434318983573,2016-11-01,17046.732
11153.189920598339,2016-11-02,16316.902
11130.359107123308,2016-11-03,15861.921
13066.394476505127,2016-11-04,15359.659
13689.423431368132,2016-11-05,14740.621
13761.803479562346,2016-11-06,14148.896
14246.9039953718,2016-11-07,13707.556
13593.07410445566,2016-11-08,13247.938999999997
13520.930489725066,2016-11-09,12919.063
13281.188088363584,2016-11-10,12918.854
12451.132990377275,2016-11-11,12860.9375
11612.389854571511,2016-11-12,12714.451
10834.690384285586,2016-11-13,12420.65
10518.650296109892,2016-11-14,11722.845
10812.034127245552,2016-11-15,11008.001
11359.22281876859,2016-11-16,10426.18
