discharge,datetime
307.0,1963-05-07
300.0,1963-05-08
295.0,1963-05-09
290.0,1963-05-10
285.0,1963-05-11
270.0,1963-05-12
240.0,1963-05-13
210.0,1963-05-14
190.0,1963-05-15
170.0,1963-05-16
145.0,1963-05-17
90.0,1963-05-18
840.0,1963-09-20
1300.0,1963-09-21
1800.0,1963-09-22
2620.0,1963-09-23
3200.0,1963-09-24
2610.0,1963-09-25
2620.0,1963-09-26
1860.0,1963-09-27
2630.0,1963-09-28
1860.0,1963-09-29
2640.0,1963-09-30
3210.0,1963-10-01
2630.0,1963-10-02
3220.0,1963-10-03
3230.0,1963-10-04
3230.0,1963-10-05
3740.0,1963-10-06
4390.0,1963-10-07
4770.0,1963-10-08
5610.0,1963-10-09
4940.0,1963-10-10
5600.0,1963-10-11
5890.0,1963-10-12
6680.0,1963-10-13
7030.0,1963-10-14
7490.0,1963-10-15
7430.0,1963-10-16
8050.0,1963-10-17
8200.0,1963-10-18
8360.0,1963-10-19
8490.0,1963-10-20
8590.0,1963-10-21
8540.0,1963-10-22
8590.0,1963-10-23
8820.0,1963-10-24
8490.0,1963-10-25
8845.0,1963-10-26
8640.0,1963-10-27
8700.0,1963-10-28
9030.0,1963-10-29
8930.0,1963-10-30
9160.0,1963-10-31
9130.0,1963-11-01
8920.0,1963-11-02
9120.0,1963-11-03
9110.0,1963-11-04
9020.0,1963-11-05
8430.0,1963-11-06
7960.0,1963-11-07
7360.0,1963-11-08
6940.0,1963-11-09
6850.0,1963-11-10
7200.0,1963-11-11
7340.0,1963-11-12
7480.0,1963-11-13
7660.0,1963-11-14
7690.0,1963-11-15
7620.0,1963-11-16
7510.0,1963-11-17
7250.0,1963-11-18
7250.0,1963-11-19
7040.0,1963-11-20
6980.0,1963-11-21
6900.0,1963-11-22
7100.0,1963-11-23
7110.0,1963-11-24
7210.0,1963-11-25
7230.0,1963-11-26
7310.0,1963-11-27
7510.0,1963-11-28
7550.0,1963-11-29
7600.0,1963-11-30
7550.0,1963-12-01
7500.0,1963-12-02
7480.0,1963-12-03
7560.0,1963-12-04
7460.0,1963-12-05
7400.0,1963-12-06
7230.0,1963-12-07
7300.0,1963-12-08
7200.0,1963-12-09
7150.0,1963-12-10
7090.0,1963-12-11
7070.0,1963-12-12
7020.0,1963-12-13
6990.0,1963-12-14
6830.0,1963-12-15
6900.0,1963-12-16
6850.0,1963-12-17
6650.0,1963-12-18
6750.0,1963-12-19
6610.0,1963-12-20
6650.0,1963-12-21
6420.0,1963-12-22
6300.0,1963-12-23
6130.0,1963-12-24
5950.0,1963-12-25
5900.0,1963-12-26
5850.0,1963-12-27
5800.0,1963-12-28
5610.0,1963-12-29
5460.0,1963-12-30
5300.0,1963-12-31
5200.0,1964-01-01
5110.0,1964-01-02
5040.0,1964-01-03
4810.0,1964-01-04
4750.0,1964-01-05
4700.0,1964-01-06
4500.0,1964-01-07
4440.0,1964-01-08
4410.0,1964-01-09
4310.0,1964-01-10
4260.0,1964-01-11
4140.0,1964-01-12
4040.0,1964-01-13
4000.0,1964-01-14
3960.0,1964-01-15
3760.0,1964-01-16
3600.0,1964-01-17
3560.0,1964-01-18
3460.0,1964-01-19
3160.0,1964-01-20
3130.0,1964-01-21
3090.0,1964-01-22
3050.0,1964-01-23
2980.0,1964-01-24
2820.0,1964-01-25
2790.0,1964-01-26
2760.0,1964-01-27
2740.0,1964-01-28
2630.0,1964-01-29
2540.0,1964-01-30
2310.0,1964-01-31
2280.0,1964-02-01
2220.0,1964-02-02
2100.0,1964-02-03
1980.0,1964-02-04
2000.0,1964-02-05
1770.0,1964-02-06
1720.0,1964-02-07
1700.0,1964-02-08
1700.0,1964-02-09
1610.0,1964-02-10
1600.0,1964-02-11
1600.0,1964-02-12
1550.0,1964-02-13
1500.0,1964-02-14
1500.0,1964-02-15
1450.0,1964-02-16
1380.0,1964-02-17
1320.0,1964-02-18
1240.0,1964-02-19
1150.0,1964-02-20
1150.0,1964-02-21
1150.0,1964-02-22
1130.0,1964-02-23
1100.0,1964-02-24
1100.0,1964-02-25
1070.0,1964-02-26
1050.0,1964-02-27
1010.0,1964-02-28
1000.0,1964-02-29
1000.0,1964-03-01
995.0,1964-03-02
990.0,1964-03-03
985.0,1964-03-04
980.0,1964-03-05
975.0,1964-03-06
970.0,1964-03-07
965.0,1964-03-08
960.0,1964-03-09
955.0,1964-03-10
950.0,1964-03-11
945.0,1964-03-12
940.0,1964-03-13
935.0,1964-03-14
930.0,1964-03-15
920.0,1964-03-16
910.0,1964-03-17
900.0,1964-03-18
890.0,1964-03-19
880.0,1964-03-20
870.0,1964-03-21
860.0,1964-03-22
850.0,1964-03-23
840.0,1964-03-24
830.0,1964-03-25
820.0,1964-03-26
810.0,1964-03-27
800.0,1964-03-28
730.0,1964-03-29
785.0,1964-03-30
780.0,1964-03-31
770.0,1964-04-01
765.0,1964-04-02
760.0,1964-04-03
755.0,1964-04-04
750.0,1964-04-05
740.0,1964-04-06
730.0,1964-04-07
720.0,1964-04-08
710.0,1964-04-09
700.0,1964-04-10
690.0,1964-04-11
680.0,1964-04-12
670.0,1964-04-13
660.0,1964-04-14
650.0,1964-04-15
640.0,1964-04-16
630.0,1964-04-17
620.0,1964-04-18
610.0,1964-04-19
600.0,1964-04-20
590.0,1964-04-21
580.0,1964-04-22
570.0,1964-04-23
560.0,1964-04-24
550.0,1964-04-25
540.0,1964-04-26
530.0,1964-04-27
520.0,1964-04-28
510.0,1964-04-29
500.0,1964-04-30
500.0,1964-05-01
490.0,1964-05-02
480.0,1964-05-03
470.0,1964-05-04
460.0,1964-05-05
450.0,1964-05-06
440.0,1964-05-07
430.0,1964-05-08
420.0,1964-05-09
410.0,1964-05-10
400.0,1964-05-11
390.0,1964-05-12
380.0,1964-05-13
370.0,1964-05-14
360.0,1964-05-15
350.0,1964-05-16
340.0,1964-05-17
330.0,1964-05-18
320.0,1964-05-19
310.0,1964-05-20
300.0,1964-05-21
260.0,1964-05-22
220.0,1964-05-23
160.0,1964-05-24
120.0,1964-05-25
80.0,1964-05-26
60.0,1964-05-27
400.0,1964-10-15
1000.0,1964-10-16
1600.0,1964-10-17
2280.0,1964-10-18
2630.0,1964-10-19
3220.0,1964-10-20
3460.0,1964-10-21
3930.0,1964-10-22
4350.0,1964-10-23
4800.0,1964-10-24
5200.0,1964-10-25
5610.0,1964-10-26
6050.0,1964-10-27
5900.0,1964-10-28
5980.0,1964-10-29
6130.0,1964-10-30
6600.0,1964-10-31
6700.0,1964-11-01
6580.0,1964-11-02
7470.0,1964-11-03
8270.0,1964-11-04
8400.0,1964-11-05
8320.0,1964-11-06
8330.0,1964-11-07
8580.0,1964-11-08
7920.0,1964-11-09
8070.0,1964-11-10
7100.0,1964-11-11
5980.0,1964-11-12
5860.0,1964-11-13
5850.0,1964-11-14
6960.0,1964-11-15
7600.0,1964-11-16
7950.0,1964-11-17
8000.0,1964-11-18
8200.0,1964-11-19
8180.0,1964-11-20
8230.0,1964-11-21
8260.0,1964-11-22
7900.0,1964-11-23
8220.0,1964-11-24
8100.0,1964-11-25
8300.0,1964-11-26
8080.0,1964-11-27
8280.0,1964-11-28
8110.0,1964-11-29
8350.0,1964-11-30
8350.0,1964-12-01
8330.0,1964-12-02
8060.0,1964-12-03
8000.0,1964-12-04
7910.0,1964-12-05
8120.0,1964-12-06
7980.0,1964-12-07
7640.0,1964-12-08
7580.0,1964-12-09
7580.0,1964-12-10
7530.0,1964-12-11
7800.0,1964-12-12
7660.0,1964-12-13
7510.0,1964-12-14
7440.0,1964-12-15
7410.0,1964-12-16
7140.0,1964-12-17
7200.0,1964-12-18
7080.0,1964-12-19
6970.0,1964-12-20
6780.0,1964-12-21
6650.0,1964-12-22
6560.0,1964-12-23
6450.0,1964-12-24
6370.0,1964-12-25
6290.0,1964-12-26
6320.0,1964-12-27
6270.0,1964-12-28
6160.0,1964-12-29
5980.0,1964-12-30
6000.0,1964-12-31
5900.0,1965-01-01
5760.0,1965-01-02
5680.0,1965-01-03
5550.0,1965-01-04
5380.0,1965-01-05
5300.0,1965-01-06
5260.0,1965-01-07
5140.0,1965-01-08
4940.0,1965-01-09
4800.0,1965-01-10
4720.0,1965-01-11
4640.0,1965-01-12
4570.0,1965-01-13
4540.0,1965-01-14
4510.0,1965-01-15
4350.0,1965-01-16
4200.0,1965-01-17
4070.0,1965-01-18
3980.0,1965-01-19
3880.0,1965-01-20
3800.0,1965-01-21
