datetime,stage
1990-09-27 00:00:00,8.58
1990-09-28 00:00:00,8.6
1990-09-29 00:00:00,8.64
1990-09-30 00:00:00,8.64
1990-10-01 00:00:00,8.65
1990-10-02 00:00:00,8.67
1990-10-03 00:00:00,8.66
1990-10-04 00:00:00,8.63
1990-10-05 00:00:00,8.64
1990-10-06 00:00:00,8.7
1990-10-07 00:00:00,8.74
1990-10-08 00:00:00,8.74
1990-10-09 00:00:00,8.72
1990-10-10 00:00:00,8.71
1990-10-11 00:00:00,8.66
1990-10-12 00:00:00,8.63
1990-10-13 00:00:00,8.57
1990-10-14 00:00:00,8.5
1990-10-15 00:00:00,8.41
1990-10-16 00:00:00,8.34
1990-10-17 00:00:00,8.32
1990-10-18 00:00:00,8.4
1990-10-19 00:00:00,8.52
1990-10-20 00:00:00,8.58
1990-10-21 00:00:00,8.63
1990-10-22 00:00:00,8.7
1990-10-23 00:00:00,8.74
1990-10-24 00:00:00,8.69
1990-10-25 00:00:00,8.6
1990-10-26 00:00:00,8.5
1990-10-27 00:00:00,8.4
1990-10-28 00:00:00,8.28
1990-10-29 00:00:00,8.15
1990-10-30 00:00:00,8.02
1990-10-31 00:00:00,7.88
1990-11-01 00:00:00,7.76
1990-11-02 00:00:00,7.66
1990-11-03 00:00:00,7.56
1990-11-04 00:00:00,7.46
1990-11-05 00:00:00,7.35
1990-11-06 00:00:00,7.23
1990-11-07 00:00:00,7.1
1990-11-08 00:00:00,7.01
1990-11-09 00:00:00,6.96
1990-11-10 00:00:00,6.92
1990-11-11 00:00:00,6.93
1990-11-12 00:00:00,6.98
1990-11-13 00:00:00,6.98
1990-11-14 00:00:00,6.93
1990-11-15 00:00:00,6.94
1990-11-16 00:00:00,7.01
1990-11-17 00:00:00,7.08
1990-11-18 00:00:00,6.99
1990-11-19 00:00:00,6.81
1990-11-20 00:00:00,6.7
1990-11-21 00:00:00,6.61
1990-11-22 00:00:00,6.48
1990-11-23 00:00:00,6.36
1990-11-24 00:00:00,6.25
1990-11-25 00:00:00,6.14
1990-11-26 00:00:00,6.05
1990-11-27 00:00:00,5.97
1990-11-28 00:00:00,5.85
1990-11-29 00:00:00,5.74
1990-11-30 00:00:00,5.63
1990-12-01 00:00:00,5.54
1990-12-02 00:00:00,5.46
1990-12-03 00:00:00,5.37
1990-12-04 00:00:00,5.28
1990-12-05 00:00:00,5.2
1990-12-06 00:00:00,5.12
1990-12-07 00:00:00,5.05
1990-12-08 00:00:00,4.97
1990-12-09 00:00:00,4.89
1990-12-10 00:00:00,4.8
1990-12-11 00:00:00,4.72
1990-12-12 00:00:00,4.62
1990-12-13 00:00:00,4.54
1990-12-14 00:00:00,4.45
1990-12-15 00:00:00,4.38
1990-12-16 00:00:00,4.3
1990-12-17 00:00:00,4.24
1990-12-18 00:00:00,4.19
1990-12-19 00:00:00,4.14
1990-12-20 00:00:00,4.08
1990-12-21 00:00:00,4.02
1990-12-22 00:00:00,3.96
1990-12-23 00:00:00,3.9
1990-12-24 00:00:00,3.85
1990-12-25 00:00:00,3.78
1990-12-26 00:00:00,3.69
1990-12-27 00:00:00,3.64
1990-12-28 00:00:00,3.6
1990-12-29 00:00:00,3.56
1990-12-30 00:00:00,3.52
