discharge,datetime
115.0,1966-04-15
115.0,1966-04-16
115.0,1966-04-17
115.0,1966-04-18
115.0,1966-04-19
117.0,1966-04-20
123.0,1966-04-21
123.0,1966-04-22
119.0,1966-04-23
125.0,1966-04-24
145.0,1966-04-25
140.0,1966-04-26
135.0,1966-04-27
145.0,1966-04-28
142.0,1966-04-29
148.0,1966-04-30
152.0,1966-05-01
160.0,1966-05-02
169.0,1966-05-03
178.0,1966-05-04
187.0,1966-05-05
205.0,1966-05-06
211.0,1966-05-07
255.0,1966-05-08
290.0,1966-05-09
465.0,1966-05-10
375.0,1966-05-11
474.0,1966-05-12
590.0,1966-05-13
375.0,1966-05-14
322.0,1966-05-15
276.0,1966-05-16
348.0,1966-05-17
402.0,1966-05-18
357.0,1966-05-19
290.0,1966-05-20
625.0,1966-05-21
660.0,1966-05-22
1020.0,1966-05-23
2090.0,1966-05-24
1900.0,1966-05-25
1480.0,1966-05-26
1200.0,1966-05-27
1190.0,1966-05-28
1100.0,1966-05-29
1080.0,1966-05-30
1050.0,1966-05-31
1020.0,1966-06-01
820.0,1966-06-02
730.0,1966-06-03
860.0,1966-06-04
740.0,1966-06-05
860.0,1966-06-06
720.0,1966-06-07
660.0,1966-06-08
585.0,1966-06-09
510.0,1966-06-10
510.0,1966-06-11
488.0,1966-06-12
465.0,1966-06-13
438.0,1966-06-14
406.0,1966-06-15
402.0,1966-06-16
393.0,1966-06-17
510.0,1966-06-18
640.0,1966-06-19
690.0,1966-06-20
630.0,1966-06-21
540.0,1966-06-22
510.0,1966-06-23
610.0,1966-06-24
655.0,1966-06-25
660.0,1966-06-26
710.0,1966-06-27
870.0,1966-06-28
880.0,1966-06-29
1020.0,1966-06-30
1020.0,1966-07-01
1090.0,1966-07-02
1040.0,1966-07-03
1120.0,1966-07-04
1200.0,1966-07-05
1160.0,1966-07-06
1070.0,1966-07-07
810.0,1966-07-08
750.0,1966-07-09
720.0,1966-07-10
660.0,1966-07-11
670.0,1966-07-12
1020.0,1966-07-13
960.0,1966-07-14
990.0,1966-07-15
1500.0,1966-07-16
1500.0,1966-07-17
1300.0,1966-07-18
1290.0,1966-07-19
1750.0,1966-07-20
2050.0,1966-07-21
3150.0,1966-07-22
4520.0,1966-07-23
4880.0,1966-07-24
4880.0,1966-07-25
5260.0,1966-07-26
5760.0,1966-07-27
5350.0,1966-07-28
4630.0,1966-07-29
3680.0,1966-07-30
3580.0,1966-07-31
3650.0,1966-08-01
3030.0,1966-08-02
2880.0,1966-08-03
2880.0,1966-08-04
2650.0,1966-08-05
2390.0,1966-08-06
2550.0,1966-08-07
2810.0,1966-08-08
3800.0,1966-08-09
3400.0,1966-08-10
3030.0,1966-08-11
3110.0,1966-08-12
3290.0,1966-08-13
3580.0,1966-08-14
3920.0,1966-08-15
4110.0,1966-08-16
4370.0,1966-08-17
4310.0,1966-08-18
4220.0,1966-08-19
3800.0,1966-08-20
3470.0,1966-08-21
3180.0,1966-08-22
2610.0,1966-08-23
3140.0,1966-08-24
2350.0,1966-08-25
2130.0,1966-08-26
1840.0,1966-08-27
1850.0,1966-08-28
1830.0,1966-08-29
2280.0,1966-08-30
2510.0,1966-08-31
2890.0,1966-09-01
2990.0,1966-09-02
2810.0,1966-09-03
3550.0,1966-09-04
3700.0,1966-09-05
3280.0,1966-09-06
2960.0,1966-09-07
2640.0,1966-09-08
4850.0,1966-09-09
6030.0,1966-09-10
6130.0,1966-09-11
5310.0,1966-09-12
4770.0,1966-09-13
5060.0,1966-09-14
5220.0,1966-09-15
5170.0,1966-09-16
4730.0,1966-09-17
4220.0,1966-09-18
3550.0,1966-09-19
3310.0,1966-09-20
2550.0,1966-09-21
2400.0,1966-09-22
2380.0,1966-09-23
2370.0,1966-09-24
1680.0,1966-09-25
1540.0,1966-09-26
1260.0,1966-09-27
1290.0,1966-09-28
1180.0,1966-09-29
1060.0,1966-09-30
310.0,1967-02-01
298.0,1967-02-02
302.0,1967-02-03
290.0,1967-02-04
310.0,1967-02-05
302.0,1967-02-06
302.0,1967-02-07
294.0,1967-02-08
290.0,1967-02-09
290.0,1967-02-10
272.0,1967-02-11
262.0,1967-02-12
266.0,1967-02-13
266.0,1967-02-14
262.0,1967-02-15
262.0,1967-02-16
258.0,1967-02-17
255.0,1967-02-18
262.0,1967-02-19
255.0,1967-02-20
248.0,1967-02-21
248.0,1967-02-22
248.0,1967-02-23
241.0,1967-02-24
241.0,1967-02-25
234.0,1967-02-26
234.0,1967-02-27
241.0,1967-02-28
234.0,1967-03-01
227.0,1967-03-02
224.0,1967-03-03
220.0,1967-03-04
227.0,1967-03-05
220.0,1967-03-06
217.0,1967-03-07
214.0,1967-03-08
220.0,1967-03-09
202.0,1967-03-10
202.0,1967-03-11
160.0,1967-03-12
148.0,1967-03-13
135.0,1967-03-14
227.0,1967-03-15
217.0,1967-03-16
272.0,1967-03-17
145.0,1967-03-18
145.0,1967-03-19
87.0,1967-03-20
86.0,1967-03-21
86.0,1967-03-22
88.0,1967-03-23
89.0,1967-03-24
92.0,1967-03-25
238.0,1967-03-26
230.0,1967-03-27
227.0,1967-03-28
88.0,1967-03-29
88.0,1967-03-30
